tax_id	taxon_name
131568	Kineococcus_radiotolerans
983548	Dokdonia_sp._4H-3-7-5
983544	Lacinutrix_sp._5H-3-7-4
511	Alcaligenes_faecalis
246272	Bacillus_bogoriensis
518	Bordetella_bronchiseptica
1573406	Streptomyces_sp._MNU77
519	Bordetella_parapertussis
520	Bordetella_pertussis
262668	Acinetobacter_beijerinckii
1524254	Pseudohongiella_acticola
521	Bordetella_avium
523	Acidiphilium_angustum
531	Polaribacter_irgensii
533	Beijerinckia_indica
279058	Collimonas_arenae
1671680	Rathayibacter_tanaceti
545	Citrobacter_koseri
546	Citrobacter_freundii
548	Klebsiella_aerogenes
549	Pantoea_agglomerans
550	Enterobacter_cloacae
552	Erwinia_amylovora
553	Pantoea_ananatis
554	Pectobacterium_carotovorum
556	Dickeya_chrysanthemi
1917484	Pseudomonas_sp._FSL_W5-0299
1933868	Sphingobacterium_sp._CZ-UAM
164400	Thauera_phenylacetica
562	Escherichia_coli
563	Shimwellia_blattae
564	Escherichia_fergusonii
565	Atlantibacter_hermannii
571	Klebsiella_oxytoca
197183	Alkanindiges_illinoisensis
1524267	Pseudomonas_sp._BRG-100
573	Klebsiella_pneumoniae
575	Raoultella_planticola
577	Raoultella_terrigena
580	Kluyvera_cryocrescens
582	Morganella_morganii
584	Proteus_mirabilis
585	Proteus_vulgaris
587	Providencia_rettgeri
588	Providencia_stuartii
279113	Collimonas_pratensis
213588	Thermomonas_hydrothermalis
1933894	Salinivibrio_sp._IB563
1638980	Lysinimicrobium_gelatinilyticum
614	Serratia_liquefaciens
615	Serratia_marcescens
1819251	Halomonas_sp._KX33721
618	Serratia_odorifera
82541	Cupriavidus_gilardii
621	Shigella_boydii
622	Shigella_dysenteriae
623	Shigella_flexneri
624	Shigella_sonnei
628	Xenorhabdus_nematophila
630	Yersinia_enterocolitica
632	Yersinia_pestis
633	Yersinia_pseudotuberculosis
636	Edwardsiella_tarda
1311337	Pseudomonas_sp._C9
644	Aeromonas_hydrophila
645	Aeromonas_salmonicida
361101	Streptococcus_pseudoporcinus
754307	Escherichia_sp._B1147
649	Aeromonas_eucrenophila
651	Aeromonas_media
654	Aeromonas_veronii
754331	Escherichia_sp._TW09308
754330	Escherichia_sp._TW09276
1507974	Vibrio_sp._J2-6
659	Photobacterium_phosphoreum
1589899	Frigoribacterium_sp._MEB024
1507971	Vibrio_sp._J2-3
1852041	Rhodococcus_sp._AJR001
661	Photobacterium_angustum
663	Vibrio_alginolyticus
754332	Escherichia_sp._TW10509
1507979	Vibrio_sp._J2-29
754327	Escherichia_sp._TW09231
668	Aliivibrio_fischeri
670	Vibrio_parahaemolyticus
672	Vibrio_vulnificus
673	Grimontia_hollisae
1229488	beta_proteobacterium_FWI2
246432	Staphylococcus_equorum
678	Vibrio_sp.
680	Vibrio_campbellii
66219	Lachnoclostridium_phytofermentans
754336	Escherichia_sp._TW14182
1934003	Exiguobacterium_sp._HVEsp1
672443	Klebsiella_sp._S1
1229486	gamma_proteobacterium_L18
1229484	alpha_proteobacterium_LLX12A
703	Plesiomonas_shigelloides
164546	Cupriavidus_taiwanensis
1229520	Alkalibacterium_sp._AK22
393921	Porphyromonas_crevioricanis
82633	Cupriavidus_pauculus
1737424	Blautia_massiliensis
1737425	Corynebacterium_provencense
715	Actinobacillus_pleuropneumoniae
716	Actinobacillus_suis
718	Actinobacillus_equuli
1835724	Pantoea_sp._OXWO6B1
727	Haemophilus_influenzae
728	Avibacterium_paragallinarum
279262	Nocardia_mexicana
230105	Methylophaga_aminisulfidivorans
361183	Altererythrobacter_epoxidivorans
730	[Haemophilus]_ducreyi
731	Histophilus_somni
66269	Pantoea_stewartii
1639108	Chania_multitudinisentens
733	Haemophilus_haemoglobinophilus
738	[Haemophilus]_parasuis
754409	Winogradskyella_sp._PG-2
1409788	Sunxiuqinia_dokdonensis
747	Pasteurella_multocida
750	Gallibacterium_anatis
1524461	Pseudomonas_sp._EGD-AKN5
1770209	Micrococcus_sp._CH3
1524460	Phaeodactylibacter_xiamenensis
781	Rickettsia_conorii
783	Rickettsia_rickettsii
786	Rickettsia_akari
1590027	Bacillus_sp._A053
787	Rickettsia_australis
1721091	Chryseobacterium_sp._IHB_B_17019
817	Bacteroides_fragilis
818	Bacteroides_thetaiotaomicron
820	Bacteroides_uniformis
821	Bacteroides_vulgatus
1147684	Achromobacter_arsenitoxydans
1590063	Lactobacillus_sp._FMNP02
823	Parabacteroides_distasonis
656178	Pandoraea_vervacti
279356	Aquimarina_muelleri
656179	Pandoraea_faecigallinarum
837	Porphyromonas_gingivalis
1737567	Alteromonadaceae_bacterium_XY-R5
328515	Nonlabens_dokdonensis
839	Prevotella_ruminicola
840	Prevotella_loescheii
66378	Streptomyces_yerevanensis
1688405	Achromobacter_sp._DMS1
754500	Bradyrhizobium_sp._WSM1417
849	Fusobacterium_gonidiaformans
850	Fusobacterium_mortiferum
851	Fusobacterium_nucleatum
181073	Carnobacterium_pleistocenium
856	Fusobacterium_varium
115544	Parasporobacterium_paucivorans
859	Fusobacterium_necrophorum
860	Fusobacterium_periodonticum
861	Fusobacterium_ulcerans
885586	Chryseobacterium_sp._BLS98
1327989	Serratia_sp._FS14
82789	Agrobacterium_sp._ATCC_31749
1262452	Streptomyces_sp._769
1278819	Flavobacterium_spartansii
721785	Acidovorax_ebreus
886	Thermodesulfobacterium_thermophilum
1737624	Geobacillus_sp._Sah69
907	Megasphaera_elsdenii
912	Nitrobacter_hamburgensis
913	Nitrobacter_winogradskyi
921	Starkeya_novella
927	Halothiobacillus_neapolitanus
230310	Curvibacter_gracilis
1917883	Bacteroides_sp._Marseille-P3166
1917876	Blautia_sp._Marseille-P3087
1917878	Prevotella_ihumii
525244	Acinetobacter_sp._ATCC_27244
508869	Bradyrhizobium_genosp._SA-4
964	Herbaspirillum_seropedicae
971	Selenomonas_ruminantium
1852368	Prevotellaceae_bacterium_Marseille-P2826
1852370	Prevotellamassilia_timonensis
1852365	Fusobacterium_massiliense
312277	Flavobacterium_indicum
982	Saccharicrinis_fermentans
1852362	Bacteroides_ihuae
984	Pedobacter_heparinus
986	Flavobacterium_johnsoniae
987	Aquimarina_latercula
148446	Burkholderia_sp._A1
148447	Paraburkholderia_phymatum
991	Flavobacterium_hydatis
995	Solitalea_canadensis
656366	Arthrobacter_alpinus
996	Flavobacterium_columnare
1262585	Acinetobacter_qingfengensis
197614	Streptococcus_pasteurianus
1008	Saprospira_grandis
312306	Pseudomonas_entomophila
1015	Bergeyella_zoohelcum
1852385	Olsenella_sp._Marseille-P2936
1852386	Olsenella_sp._Marseille-P2912
246787	Bacteroides_cellulosilyticus
1034	Afipia_clevelandensis
1035	Afipia_felis
1131551	Methylotenera_sp._1P/1
1279005	Escherichia_sp._KTE172
246796	Pedobacter_himalayensis
1836045	Burkholderia_sp._CQ001
82977	Buttiauxella_agrestis
82983	Obesumbacterium_proteus
82985	Pragia_fontium
82989	Buttiauxella_ferragutiae
82990	Buttiauxella_gaviniae
82992	Buttiauxella_noackiae
82995	Serratia_grimesii
1076	Rhodopseudomonas_palustris
82996	Serratia_plymuthica
1082	Phaeospirillum_fulvum
