phylum	genus	genus_tax_id
Proteobacteria	Leclercia	83654
Proteobacteria	Thermodesulfobacterium	1740
Actinobacteria	Propionibacterium	1743
Firmicutes	Thermoanaerobacter	1754
Actinobacteria	Thermobifida	83677
Actinobacteria	Nonomuraea	83681
Actinobacteria	Mycobacterium	1763
Actinobacteria	Humibacter	427753
Bacteroidetes	Imtechella	1165076
Proteobacteria	Ferriphaselus	1443590
Actinobacteria	Amycolatopsis	1813
Actinobacteria	Nocardia	1817
Actinobacteria	Rhodococcus	1827
Actinobacteria	Saccharopolyspora	1835
Actinobacteria	Nocardioides	1839
Actinobacteria	Pseudonocardia	1847
Proteobacteria	Sphingobium	165695
Actinobacteria	Frankia	1854
Proteobacteria	Novosphingobium	165696
Proteobacteria	Sphingopyxis	165697
Actinobacteria	Geodermatophilus	1860
Actinobacteria	Actinoplanes	1865
Actinobacteria	Micromonospora	1873
Actinobacteria	Streptomyces	1883
Proteobacteria	Histophilus	214906
Proteobacteria	Desulfurivibrio	427922
Firmicutes	Sporanaerobacter	165812
Actinobacteria	Actinomadura	1988
Actinobacteria	Microtetraspora	1995
Actinobacteria	Streptosporangium	2000
Actinobacteria	Microbispora	2005
Actinobacteria	Nocardiopsis	2013
Actinobacteria	Thermomonospora	2019
Proteobacteria	Candidatus_Desulfofervidus	1902583
Actinobacteria	Curtobacterium	2034
Proteobacteria	Psychromonas	67572
Bacteroidetes	Paludibacter	346096
Proteobacteria	Rheinheimera	67575
Actinobacteria	Aeromicrobium	2040
Proteobacteria	Desulfofustis	51194
Proteobacteria	Aurantimonas	182269
Actinobacteria	Gordonia	2053
Actinobacteria	Tsukamurella	2060
Actinobacteria	Kitasatospora	2063
Proteobacteria	Dyella	231454
Firmicutes	Fictibacillus	1329200
Proteobacteria	Lampropedia	198705
Tenericutes	Spiroplasma	2132
Firmicutes	Cohnella	329857
Actinobacteria	Slackia	84108
Actinobacteria	Eggerthella	84111
Proteobacteria	Salinivibrio	51366
Bacteroidetes	Galbibacter	379068
Proteobacteria	Massilia	149698
Actinobacteria	Cryptobacterium	84162
Bacteroidetes	Sediminibacter	379072
Thermotogae	Thermotoga	2335
Deferribacteres	Flexistipes	2351
Firmicutes	Sporomusa	2375
Thermotogae	Thermosipho	2420
Firmicutes	Virgibacillus	84406
Firmicutes	Oceanobacillus	182709
Firmicutes	Finegoldia	150022
Firmicutes	Coprobacillus	100883
Firmicutes	Massilioclostridium	1935927
Firmicutes	Parvimonas	543311
Proteobacteria	Sodalis	84565
Bacteroidetes	Pedobacter	84567
Actinobacteria	Gardnerella	2701
Proteobacteria	Blastomonas	150203
Proteobacteria	Halomonas	2745
Firmicutes	Carnobacterium	2747
Proteobacteria	Mesorhizobium	68287
Firmicutes	Brochothrix	2755
Firmicutes	Anoxybacillus	150247
Actinobacteria	Olsenella	133925
Firmicutes	Granulicatella	117563
Firmicutes	Thermobrachium	150333
Proteobacteria	Atlantibacter	1903434
Proteobacteria	Labrenzia	478070
Actinobacteria	Jiangella	281472
Firmicutes	Drancourtella	1903506
Bacteroidetes	Nonlabens	363408
Actinobacteria	Dactylosporangium	35753
Firmicutes	Marvinbryantia	248744
Bacteroidetes	Prolixibacter	314318
Proteobacteria	Sideroxydans	314343
Cyanobacteria	Arthrospira	35823
Firmicutes	Acetivibrio	35829
Firmicutes	Mitsuokella	52225
Proteobacteria	Kaistia	166953
Firmicutes	Clostridioides	1870884
Proteobacteria	Hylemonella	232523
Proteobacteria	Chelonobacter	658623
Proteobacteria	Phaeospirillum	85265
Proteobacteria	Curvibacter	281915
Proteobacteria	Lelliottia	1330545
Proteobacteria	Pluralibacter	1330546
Proteobacteria	Kosakonia	1330547
Firmicutes	Tepidibacillus	1494427
Proteobacteria	Bosea	85413
Bacteroidetes	Candidatus_Azobacteroides	511434
Proteobacteria	Nereida	282198
Proteobacteria	Aliivibrio	511678
Firmicutes	Caldanaerobacter	249529
Fusobacteria	Ilyobacter	167639
Actinobacteria	Collinsella	102106
Bacteroidetes	Polaribacter	52959
Proteobacteria	Acuticoccus	1904377
Proteobacteria	Polaromonas	52972
Firmicutes	Oribacterium	265975
Actinobacteria	Serinicoccus	265976
Bacteroidetes	Paraprevotella	577309
Proteobacteria	Verminephrobacter	364316
Proteobacteria	Paraburkholderia	1822464
Firmicutes	Anaerosalibacter	1347386
Proteobacteria	Cronobacter	413496
Proteobacteria	Orientia	69474
Actinobacteria	Dermabacter	36739
Candidatus_Kryptonia	Candidatus_Kryptobacter	1855364
Actinobacteria	Cryobacterium	69578
Firmicutes	Desulfitobacterium	36853
Proteobacteria	Pseudoalteromonas	53246
Proteobacteria	Ideonella	36862
Proteobacteria	Pantoea	53335
Actinobacteria	Terrabacter	53355
Actinobacteria	Intrasporangium	53357
Actinobacteria	Pilimelia	53370
Proteobacteria	Xenophilus	151754
Actinobacteria	Janibacter	53457
Actinobacteria	Nakamurella	53460
Bacteroidetes	Fluviicola	332102
Firmicutes	Macrococcus	69965
Proteobacteria	Alicycliphilus	201096
Proteobacteria	Idiomarina	135575
Actinobacteria	Trueperella	1069494
Bacteroidetes	Aureispira	365032
Proteobacteria	Starkeya	152053
Proteobacteria	Laribacter	168470
Bacteroidetes	Odoribacter	283168
Actinobacteria	Adlercreutzia	447020
Bacteroidetes	Barnesiella	397864
