file_id	ratio_akk_eub_dapi	ratio_praus_eub_dapi
S23157_60T_S15	2.70743787584118	1.46442254955143
S23159_61D_S17	1.2846495446636	2.09943179364224
S23160_71T_S18	1.68874807494788	0.755773346851414
S23177_72D_S35	4.01622934224105	1.18943028206988
S23148_77T_S10	3.44922942941611	2.39900542687968
S23150_78D_S12	2.25317195747933	4.09215546887637
S23179_79T_S37	0.862600858703486	NA
S23169_73T_S27	1.11688062607447	0.934946321431593
S23175_74D_S33	1.9275376660583	0.579853901137493
S23181_67T_S39	1.35584720436869	NA
S23155_68D_S13	2.67817303912715	1.9284988841332
S23163_83T_S21	1.67962118753238	2.438219287079
S23167_84D_S25	2.25929735395878	3.32800359508798
S23164_85T_S22	2.42786739582745	1.91170355648493
S23178_86D_S36	2.97948277933789	2.77729367093364
S23161_81T_S19	1.42388998979983	0.320325891136856
S23170_82D_S28	3.28930432080697	2.45612985900019
S23165_91T_S23	2.39051337193841	0.44469295424934
S23166_92D_S24	2.41111795618185	2.3139323125271
S23145_64T_S7	0.918938573415378	1.28848720497063
S23147_65D_S9	3.47376902951346	3.04599566424081
S23139_56T_S1	1.81747854993092	0.992889324631814
S23141_57D_S3	2.37690421659369	1.38619580679667
S23142_58T_S4	1.90402384024643	2.23378869500508
S23144_59D_S6	2.38269141475547	2.11889544926428
