file_id	TP53	MLL2	CDKN2A	PIK3CA	NFE2L2	KEAP1	ARID1A	RB1	FBXW7	HLA.A	HRAS	FAT1	NF1	PTEN	NOTCH1	ARHGAP35	NSD1	ASXL1	EP300	RASA1	EGFR	FUBP1	FGFR3	STK11	SERPINB13
d20d94ca-b91f-4401-9ce0-4e9e2efb0424	mutated	not_mutated	not_mutated	mutated	not_mutated	mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated
d89dd4a8-3573-434a-aa2e-000b662b2d77	mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	mutated	not_mutated	not_mutated	mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	mutated	not_mutated	not_mutated	not_mutated
ad2b35b1-b945-46cb-844e-9ca1ec243268	mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated
4af8ee29-ab70-4af1-bb83-cf522a2f0d4d	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated
593ebfbf-3c30-457f-be89-e6e69064bf61	mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated
15750b18-0522-4186-8809-e7e3e7e4f6f7	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated
ca24cc1c-fa77-4acb-9828-c60467dfc75c	mutated	not_mutated	mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated
77575fbf-f28a-4c1f-b2bf-77995a05a324	mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated
f03a40c2-7ca7-411d-8d45-3e41e9f882c0	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated
1fdfb70e-ad40-42a6-9954-4d92ec3b0a03	mutated	not_mutated	mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	mutated	not_mutated	not_mutated	not_mutated	not_mutated	mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	not_mutated	mutated	not_mutated	not_mutated	not_mutated
