file_id	file_name	aliquot_barcode
0b401bda-9984-404c-99a6-6acca9eb945c	d63b8da5-11bd-4d27-add6-9246528238e6_gdc_realn_rehead.bam	TCGA-AG-3580-01A-01R-0821-07
8b49841c-8199-425f-baa7-0a499615a1e1	910004d6-0dab-4f34-b677-cd132d38e512_gdc_realn_rehead.bam	TCGA-F5-6861-01A-11R-1928-07
bf710356-75d2-404f-b84f-60adbb2969e3	947f61cc-8d4d-469b-8515-d48126d60e21_gdc_realn_rehead.bam	TCGA-AG-A015-01A-01R-A002-07
d309d103-5eb1-44b5-aa03-ec387033d0a4	d722fb7e-a795-4ded-b39c-5c3c65ae74cf_gdc_realn_rehead.bam	TCGA-CI-6623-01B-11R-1830-07
0ce8638a-27b3-4d1c-bf15-7278dcff4c2b	dcf31d29-16e5-4bc9-8acd-d52a5bd2f718_gdc_realn_rehead.bam	TCGA-AG-3608-01A-01R-0826-07
c15e4f0e-90d3-4e2d-833d-4ec71a6ca959	0f4add8a-9c66-4442-8807-e0a793906667_gdc_realn_rehead.bam	TCGA-CL-5918-01A-11R-1660-07
f69b6091-150c-47e7-a606-c7d4e92eed57	b7189b15-e91f-424c-b69b-95dce9a07d9c_gdc_realn_rehead.bam	TCGA-AF-2689-11A-01R-A32Z-07
37df2668-6e55-4e7e-91fe-fa6fa34f82a7	1aa67276-73af-472f-9ffb-5e334cb3d84a_gdc_realn_rehead.bam	TCGA-DC-5869-01A-01R-1660-07
74a4b5a9-6c17-4d70-92a7-9cc59754864a	38854a47-cbbc-4e4c-be45-48e98bc16c42_gdc_realn_rehead.bam	TCGA-AG-3593-01A-01R-0821-07
48a04271-824c-4689-8a41-4aeeb4c6da04	2f13699d-94cb-4573-b54a-1789a93641d6_gdc_realn_rehead.bam	TCGA-F5-6813-01A-11R-1830-07
257c0742-94fb-41db-b50e-4d17234dfb95	cd0d7652-0853-4045-aff8-5288e245534b_gdc_realn_rehead.bam	TCGA-AG-3587-01A-01R-0821-07
879612ea-690f-4bc6-97e5-01046a2b46e6	84ac294f-a9e3-4245-a4d3-6e58ca75cfca_gdc_realn_rehead.bam	TCGA-DY-A1DC-01A-31R-A155-07
f654eb85-e9aa-4e9a-8b17-2f5cfd45e063	16d5223e-6637-4dd0-810a-cb6e1cadf440_gdc_realn_rehead.bam	TCGA-DC-6681-01A-11R-A32Z-07
cc60c38f-d789-44a5-ae2f-f90f9a438634	5e95c82e-f545-47b4-949a-3f66f46093ac_gdc_realn_rehead.bam	TCGA-EI-7004-01A-11R-1928-07
5dbe3e1e-179e-41cd-8e85-ab7336cc0b19	04e07cea-9673-4e83-8f13-ff339ea8ea18_gdc_realn_rehead.bam	TCGA-AG-3609-01A-02R-0826-07
57eb4718-3ccd-47b5-b4d2-ba37595e946a	e0e3a823-f861-4568-b967-e57bdd6ea05d_gdc_realn_rehead.bam	TCGA-EI-6508-01A-11R-1736-07
fd97e496-2071-4a24-9267-aac611222d12	fb29d352-af88-403d-8637-939ce19d126e_gdc_realn_rehead.bam	TCGA-AG-3578-01A-01R-0821-07
74b0ab15-eae8-4113-bb3e-6e77d8777122	1a88a2df-e40a-4beb-84c2-43c9971f8a77_gdc_realn_rehead.bam	TCGA-DC-6156-01A-11R-1660-07
0b2e5ffc-3a7f-4178-b0c7-c63c55ca91c4	7ca2f8b0-394d-41ea-bc8c-57ac2fab8dcf_gdc_realn_rehead.bam	TCGA-AG-3893-01A-01R-1119-07
65644170-e9da-4222-a569-813501b75432	8a19ad18-f83c-4699-a329-6a71ec91ed86_gdc_realn_rehead.bam	TCGA-DC-6682-01A-11R-1830-07
8b2029c0-2961-4c7f-bf1b-bd76727f98af	ca0584a6-79c4-4039-bbb0-d9356aee05ca_gdc_realn_rehead.bam	TCGA-AG-4005-01A-01R-1119-07
2c9301be-9633-413f-97e4-17c11c9cd45d	fd8b8b14-ee97-46dc-8eda-a77afdf5fe8d_gdc_realn_rehead.bam	TCGA-AF-6672-01A-11R-1830-07
5ea30390-88f8-4abf-8f44-f0648436a0df	d58bcd47-104b-4db5-b22f-59ca422fa8a7_gdc_realn_rehead.bam	TCGA-EI-7002-01A-11R-1928-07
6ec3d218-83b5-4679-8d9d-41a86315b7df	4e55ea0e-45e9-42b7-854a-680cac8f3315_gdc_realn_rehead.bam	TCGA-AG-A02G-01A-01R-A00A-07
7b229401-3225-4339-b620-2e44a3639414	262c6c2e-9701-407f-a4c6-fa168ffdc5ea_gdc_realn_rehead.bam	TCGA-EI-6514-01A-11R-1736-07
