file_id	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_Tregs	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils	P_value	Correlation	RMSE	Absolute_score_sig_score	bin_B_cells_naive	bin_B_cells_memory	bin_Plasma_cells	bin_T_cells_CD8	bin_T_cells_CD4_naive	bin_T_cells_CD4_memory_resting	bin_T_cells_CD4_memory_activated	bin_T_cells_follicular_helper	bin_T_cells_regulatory_Tregs	bin_T_cells_gamma_delta	bin_NK_cells_resting	bin_NK_cells_activated	bin_Monocytes	bin_Macrophages_M0	bin_Macrophages_M1	bin_Macrophages_M2	bin_Dendritic_cells_resting	bin_Dendritic_cells_activated	bin_Mast_cells_resting	bin_Mast_cells_activated	bin_Eosinophils	bin_Neutrophils	bin_Absolute_score_sig_score
58bc1f92-80bf-4b09-b489-984cd0144548	0.14103361903388	0	0.0223965421242034	0.925147117396386	0	0.248701321804147	0.120577923375131	0.287047674470546	0.403813000095447	0.071078604737407	0	0.165089069509971	0.00216603209415394	0.731159946080979	0.412193220306142	0.622088530823766	0.0913560027971684	0	0.249283162713969	0	0	0.0382054367833219	0	0.551835282676223	0.841174794644411	4.53133720414662	medium_high	absent	medium_low	high	absent	medium_low	medium_high	high	high	present	low	present	present	high	high	high	high	absent	present	low	absent	present	high
3f26333a-9c85-4f55-8a3e-6f78d91cc553	0.224993341047931	0.154695311094398	0.352151284034362	0.111980253069623	0	0.625005150451988	0.0354000603327871	0.0490403809325958	0.0585999915156908	0.0187908338984725	0.0480901350934318	0	0.0172660871597875	0.184343498789157	0.0704229450348628	0.374170457301463	0.179822909892666	0.0372634715116554	0.44317139310582	0	0.019606846365348	0.0228676996015661	0	0.478711531828321	0.880946664796523	3.02768205023361	high	present	high	medium_low	absent	high	low	medium_low	medium_low	present	medium_low	absent	present	low	low	medium_high	high	present	present	low	present	present	medium_high
4de88051-0d80-419d-ae7d-89dcce5f6baa	0.0660745837879612	0.0331108758404253	0.121961696218635	0.294532671396582	0	0.362905963759074	0.100887806087047	0.239866195247431	0.154364185545833	0	0.0498723784260822	0	0	0.50142133465804	0.22190826396599	0.433838886880307	0.0587789543040563	0	0.325441287873556	0.0868319179144099	0	0.017827947679155	0	0.445032394474793	0.896115717668097	3.06962494958459	medium_low	present	high	medium_high	absent	medium_high	medium_high	high	high	absent	medium_high	absent	absent	medium_high	high	high	medium_high	absent	present	medium_high	absent	present	high
d2a3396b-b2f3-47fd-b32d-34341d2e5f9d	0.164273615585707	0	0.0354827284983201	0.0400521197075562	0	0.265133881080701	0	0.0329005668886136	0.0607174441937697	0	0.00258604008074049	0.0416869915393491	0	1.24433040118605	0.143252347398882	0.186791966769641	0	0.0205168105323167	0	0.125844083645247	0.0036311951946454	0.0590568715397411	0	0.783973875904838	0.658284406593644	2.42625706384128	medium_high	absent	medium_high	low	absent	medium_low	low	low	medium_low	absent	low	present	absent	high	medium_high	low	low	present	absent	high	present	present	medium_high
2341bc87-50c7-4fcf-a721-abc8744aaf1b	0.195624083952142	0	0.0448573231661552	0.271989225603308	0	0.29829720550195	0.106577336848964	0.12834861283764	0.169488267192047	0	0.0827077160756936	0.0509809269446489	0.00843352483867023	0.346926034257637	0.123691080231526	0.245747319847068	0.020337268647857	0	0	0.0391870889474834	0	0.0042345560966266	0	0.541597072922992	0.846837696658267	2.13742757098942	high	absent	medium_high	medium_high	absent	medium_low	medium_high	high	high	absent	medium_high	present	present	medium_low	medium_low	medium_low	low	absent	absent	medium_low	absent	present	medium_low
488b0103-138b-4004-8b3e-0b225c6949e7	0.0795720254967226	0	0	0.018156937703706	0.0535490896315064	0.0674357355176658	0	0.0296312812039029	0.0388499801188698	0.0423243148068628	0.0598863911163151	0	0	0.499163648122883	0.0235241181627252	0.138097925359469	0.0154462779071924	0	0	0.0483886115479033	0	0.00733867637657389	0	0.748035592201131	0.700539834423453	1.1213650130723	medium_low	absent	low	low	present	low	low	low	low	present	medium_high	absent	absent	medium_high	low	low	low	absent	absent	medium_low	absent	present	low
f61b9cd4-288e-4ab9-8ce9-61691cebbf47	0.72920041275941	0	0.17290854907891	0.178244865230077	0	0.649958863339942	0.00644757430292751	0.0369960149587773	0.196921517090673	0	0	0.0915268613593232	0	0.175912449450565	0.0705121305242051	0.520879976405105	0.072499579297377	0.0258271362473006	0.52535664367133	0	0	0.0306199320885916	0	0.486182867369529	0.875604175554049	3.48381250580452	high	absent	high	medium_low	absent	high	low	low	high	absent	low	present	absent	low	low	high	medium_high	present	present	low	absent	present	high
a36dda91-00aa-4779-bf35-fc0a69a90c21	0.152154299263051	0.00618506538610795	0.0109474110859415	0.26721631080875	0	0.449452563676097	0	0.102007694458763	0.155891335963282	0	0.135533062607936	0	0	1.47155819834036	0.148803544636591	0.396764231766258	0.047567759111608	0.0347152667887376	0	0.448180572218014	0.044411864070486	0.192518547186543	0	0.718451251026794	0.731167668147274	4.06390772736853	medium_high	present	medium_low	medium_high	absent	medium_high	low	medium_high	high	absent	high	absent	absent	high	medium_high	medium_high	medium_high	present	absent	high	present	present	high
ad1cc824-7bbc-4883-96da-55e51d1b6f0d	0.0701977981399772	0.0630173758800911	0	0.25241950345282	0	0.194997542811418	0.0759531391305147	0.0702121056919116	0.199170314636797	0	0.0250042565506878	0.0440860165339506	0.0301223491846205	0.870095730216669	0.178590852008315	0.346088691215907	0.175570040942743	0	0.0362308333079999	0.0620020435961389	0	0.0100307609545241	0	0.8081192430828	0.684256208304639	2.70378935425509	medium_low	present	low	medium_high	absent	low	medium_low	medium_low	high	absent	medium_low	present	present	high	medium_high	medium_high	high	absent	present	medium_high	absent	present	medium_high
739f4d3b-d73e-4cd7-862e-1f843c0f73c3	0.137431976661515	0	0.000746602796793314	0.410389681733857	0	0.549080502732941	0.0729337222590246	0.095511733563293	0.191468886266399	0	0	0.0130586786698038	0	0.305134966943425	0.146124252271722	0.408035043138813	0.248098645528796	0	0.160428257630599	0	0	0.0119322870169611	0	0.742843200806673	0.745448485755396	2.75037523721394	medium_high	absent	low	high	absent	high	medium_low	medium_high	high	absent	low	present	absent	medium_low	medium_high	high	high	absent	present	low	absent	present	medium_high
c3c419d6-c94c-49d5-a9d1-bba4a508beb5	0.0635283452911338	0.0228220373655387	0.00619845514804983	0.4234586412925	0	0	0.164683665428723	0.0789525477319524	0.248706318959349	0	0.00396376203572242	0.124909890188955	0	0.32947137081506	0.121589930356956	0.232467242038653	0.0651924579250172	0.00111254647272761	0.0578392786810646	0	0	0.0100932822736814	0	0.652839670524665	0.786731944726207	1.95498977200508	low	present	low	high	absent	low	high	medium_high	high	absent	low	present	absent	medium_low	medium_low	medium_low	medium_high	present	present	low	absent	present	medium_low
69ea4b44-0ae7-4261-98a7-e33754bef916	0.135518764401316	0.00337528208275643	0.0148961205483397	0.310181402890986	0	0.166452023134252	0.161909132733197	0.096082840434225	0.0635210952226993	0	0.0282808918616651	0.0148539929683081	0	0.545210829238644	0.0944338015374308	0.306439196113122	0.0485159773739996	0	0.134069639207727	0	0	0	0	0.653261192603987	0.791412986325474	2.12374098974867	medium_high	present	medium_low	medium_high	absent	low	high	medium_high	medium_low	absent	medium_low	present	absent	medium_high	medium_low	medium_high	medium_high	absent	present	low	absent	absent	medium_low
1ba88783-3486-4ecc-98a5-1a99eaccd77c	0.166764527133545	0	0.0253907409573558	0.143710437644282	0	0.0362293833499351	0.130564072800884	0.103387829900253	0.109279985734659	0	0.042648150702628	0.0133488947436081	0	0.823686191194747	0.152765032562249	0.290473707062599	0	0	0.138146151950759	0	0	0.00589167984674818	0	0.639150343016714	0.786855956520109	2.18228678558425	medium_high	absent	medium_low	medium_low	absent	low	medium_high	medium_high	medium_high	absent	medium_low	present	absent	high	medium_high	medium_low	low	absent	present	low	absent	present	medium_low
b12289f8-8259-428c-ae3e-39190e67a8d1	0.160875182027808	0	0.00049658593731602	0.143768828118309	0	0.374234603480344	0.213849784101245	0.0647664240942813	0.0685667289606013	0	0.0763973524959543	0	0.0520117764142672	0.361027368702208	0.336180508118021	0.359165915416858	0.0517576873067213	0	0.104025521228731	0	0	0	0	0.673042697519353	0.780689115512895	2.36712426640267	medium_high	absent	low	medium_low	absent	medium_high	high	medium_low	medium_low	absent	medium_high	absent	present	medium_low	high	medium_high	medium_high	absent	present	low	absent	absent	medium_high
061b61c4-5f4b-4c1c-95a4-0c757e04f506	0.212119841222352	0	0.116516898849375	0.319935964415344	0	0.623795407664624	0.0529522420360027	0.0563345105108282	0.0821429038608365	0	0.134661779858514	0	0.0807831484986134	0.414549931248011	0.120132214331675	0.657187451918504	0.11246717074646	0.0708278209566797	0	0.27038045401632	0	0.0321609513419933	0	0.555493765632467	0.844732964470604	3.35694869147613	high	absent	high	medium_high	absent	high	medium_low	medium_low	medium_low	absent	high	absent	present	medium_high	medium_low	high	high	present	absent	high	absent	present	high
fda49a14-df20-4ff9-b355-d0baf50a260a	0.15021511928621	0	0.0401236830486425	0.275162044833666	0	0.328816078376374	0.148997961746535	0.10449588734763	0.0826370355192487	0	0.141530339429898	0	0.0180263001088976	0.310294309285092	0.0692580896958505	0.129516442829066	0.0151468508774789	0.0390921235549673	0	0.257722378802541	0	0.0273648139420286	0	0.516054242072558	0.86026488931659	2.13839945868413	medium_high	absent	medium_high	medium_high	absent	medium_low	medium_high	medium_high	medium_low	absent	high	absent	present	medium_low	low	low	low	present	absent	high	absent	present	medium_low
d797d295-bd32-4463-9633-9d6be8690328	0.161893261283408	0	0.107908470118344	0.326345156325202	0	0.502517576991519	0.03007570777892	0.141459284600094	0.186285995791947	0	0	0.0976488879459698	0.101243851626014	0.312645577607841	0.227944728528545	0.551285390471897	0.180981209728602	0	0.335264888919211	0	0.00159874752525314	0	0.001	0.349963909582195	0.936750523832035	3.26509873524277	medium_high	absent	high	high	absent	high	low	high	high	absent	low	present	present	medium_low	high	high	high	absent	present	low	present	absent	high
babb54ab-021f-4265-bb2b-2b81b3db4421	0.0383734779325563	0.00399534501389011	0.0274703030205826	0.340115714331613	0	0.336379703619912	0.0956034400328717	0.172136342199311	0.0797437049905832	0	0	0.058752074092895	0.00880737444122583	0.148359027404885	0.102749699493246	0.161192534337482	0.0774644676814845	0	0.00355637818704528	0.0203747973866034	0	0.00130029352436513	0	0.541473915080575	0.843236006587251	1.67637467769055	low	present	medium_low	high	absent	medium_low	medium_high	high	medium_low	absent	low	present	present	low	medium_low	low	high	absent	present	medium_low	absent	present	low
100cd7f5-9a5a-40c0-b116-00c683d3a1ed	0.231101788215044	0	0.156286637362708	0.321450787780329	0	0.390745856522459	0.308193170794357	0.103927441434222	0.17353769362021	0	0	0.0806233357913336	0	0.948945393417416	0.214375768949354	0.549987666254209	0.192816437820109	0.0697812448099738	0.0589388188043654	0.0170670347773415	0	0.146997743040081	0	0.741831469664308	0.744841736480871	3.96477681939351	high	absent	high	medium_high	absent	medium_high	high	medium_high	high	absent	low	present	absent	high	high	high	high	present	present	medium_low	absent	present	high
523a2efe-a335-49ac-be50-45bdb2dc38f5	0.22263363302838	0	0.0737324844714446	0.342480611923413	0	0.450773459588013	0.297979808640239	0.179300616185555	0.0762631528694949	0.0168060519986478	0.128994331394261	0	0.00618874752336628	0.491351244664038	0.240144860432939	0.391901615244037	0.007215996234694	0.0906764144796831	0.0598931061332352	0.00941073718578368	0.0803930848502766	0.0804229084308707	0	0.597974037982646	0.823768220172299	3.24656286527837	high	absent	medium_high	high	absent	medium_high	high	high	medium_low	present	high	absent	present	medium_high	high	medium_high	low	present	present	medium_low	present	present	high
80ff8844-3c90-4c66-b6d9-a72ea86219ed	0.0726131295531328	0	0	0.146780830698335	0	0.232371665184176	0.0281464694181446	0.0403146356357553	0.115882493351077	0	0.0327325858530878	0.0469239584708878	0.0387199198599224	0.667369939975068	0.0901968928136304	0.356271569849783	0.0058273254303654	0.0321343016757562	0	0.0737719598393183	0	0.0567000849295873	0	0.778133078082746	0.696568752624443	2.03675776253803	medium_low	absent	low	medium_low	absent	low	low	medium_low	medium_high	absent	medium_low	present	present	high	medium_low	medium_high	low	present	absent	medium_high	absent	present	medium_low
90832632-cf57-463b-9d08-c76975066f56	0.109136754334164	0	0.00999278826627844	0.0401612011048581	0	0.353656468690164	0.191467963719565	0	0.0222427984909199	0.0499845187145569	0.0829531914563953	0	0.0113827771903396	0.349680462771369	0.117186948323797	0.153658498534836	0.0636073704480544	0	0	0.0593051701724799	0	0.00638917944885237	0	0.548662864448318	0.845867146529668	1.62080609166663	medium_high	absent	medium_low	low	absent	medium_low	high	low	low	present	medium_high	absent	present	medium_low	medium_low	low	medium_high	absent	absent	medium_high	absent	present	low
4c02520f-4d63-4903-9606-2537019dc1d7	0.0744467534794503	0	0.0112753052515939	0.932076462475685	0	0.198862505252709	0.382643597234495	0.133221585087221	0.0734159913117282	0	0	0.0413780922068601	0	0.468388282524514	0.334202166942447	0.334312997526338	0.0364514377744917	0	0.117998013566804	0	0	0	0	0.711907769341533	0.747763447313958	3.13867319063434	medium_low	absent	medium_low	high	absent	low	high	high	medium_low	absent	low	present	absent	medium_high	high	medium_high	medium_low	absent	present	low	absent	absent	high
191d5b7b-5be5-401d-af1f-4bc858e92dbb	0.100119392685793	0	0.0643236669848244	0.0632279166028655	0	0.330971794237672	0.0980815147517131	0.051499397358989	0.0665956699764861	0	0.0537518992625094	0	0.00835387768044752	0.196736642342279	0.0496139061817385	0.286085706678423	0.111262601706244	0.0780562030105234	0.132956170154188	0	0.0284123640939279	0.027509125260673	0	0.583770249010224	0.839439922046684	1.7475578489693	medium_low	absent	medium_high	low	absent	medium_low	medium_high	medium_low	medium_low	absent	medium_high	absent	present	low	low	medium_low	high	present	present	low	present	present	low
c5849645-9fb4-472f-b5d0-98dfbe740b9c	0.0872860583359186	0	0.0739065023701845	0.605507484765717	0	0.439775116939252	0.493457991741125	0.235729333633889	0.0979345188157464	0	0.331572813528688	0	0.0232201917723376	1.64061542213551	0.623706172201725	0.76155081671948	0.0223694682758106	0.00120262772019052	0.0842980415473812	0.122829607581685	0	0.0799594337019721	0	0.605296577004029	0.809179780454717	5.72492160178662	medium_low	absent	medium_high	high	absent	medium_high	high	high	medium_high	absent	high	absent	present	high	high	high	medium_low	present	present	high	absent	present	high
c73f13d8-98ce-4447-b735-2ea883e617a2	0.0894416831992426	0	0.120982601901099	0.0878016100862293	0	0.413879642748912	0.0290783986390946	0.0575074534305937	0.140403856818339	0	0.0459739476855563	0.0214283730390645	0.00355587772533752	0.579600396318679	0.124825267695363	0.317279306779286	0.0457248874963797	0	0.0870542583571029	0.000527874200267592	0.0107695329623345	0.00884825762437061	0	0.617023711900702	0.808501504555316	2.18468322670725	medium_low	absent	high	low	absent	medium_high	low	medium_low	medium_high	absent	medium_low	present	present	medium_high	medium_low	medium_high	medium_high	absent	present	medium_low	present	present	medium_low
f08dc7f4-3cc3-4743-a84e-d586d74af8d1	0.131070671534219	0	0.0312786185244389	0.632773117206667	0	0.257658571661097	0.35466589995687	0.291970315828688	0.0925775657549953	0	0.265457398548765	0	0	1.01815731806295	0.299832766377732	0.330873232079463	0.0619420667980086	0	0	0.207164206141008	0	0.0782440737478064	0	0.746106119713305	0.731310109402445	4.05366582222271	medium_high	absent	medium_high	high	absent	medium_low	high	high	medium_low	absent	high	absent	absent	high	high	medium_high	medium_high	absent	absent	high	absent	present	high
