file_id	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_Tregs	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils	P_value	Correlation	RMSE	Absolute_score_sig_score
51932ec0-8c19-4c51-89ee-445e9a84c913	0.0283417053370919	0.090906431265656	0.214860633148098	0.810287728295708	0	0.689979257746161	0.0175177519669573	0.213720446757744	0.382244244725163	0	0.209369519444815	0.000647869759554564	0.020328877842734	0.821067214083565	0.169542541634054	0.196197059481294	0.0408083260085748	0	0.0108974282981023	0.0649612540314323	0	0	0.019	0.197907361048899	1.01850221647673	3.98167828982671
9b2dd3c7-9101-4fb1-bc2c-17d5e24f6bfb	0.175664607710663	0	0.0537601340493282	0.482077937964372	0	0.352601385425969	0.514138552502099	0.0782621178691602	0.00370947469355618	0	0.163839311858847	0	0.00125449499877045	0.319439074436275	0.105976613680882	0.196562001587051	0.0240932651401932	0.00704583668252846	0	0.0259509431381958	0.00472403108992877	0.00520266289157236	0.001	0.545309710696405	0.844316886860572	2.51430244571939
ed8648be-08e5-4fb5-a769-13d9da265bd6	0.190393084766141	0	0.0810119546765158	0.33447014105971	0	0.440906863862166	0.0945895483464164	0.0997617426124247	0.0632766391831314	0	0	0.0665345006819877	0	1.30336491465279	0.217044540255551	0.372867498272801	0.0139583847754927	0	0.101482154940212	0	0	0	0	0.769024673485783	0.699768747310739	3.37966196808534
3554e5ef-2546-405f-b206-4506044d9e34	0.313606887804182	0	0.0448205688345997	0.562770512923622	0	0.496405730054497	0.085236674394571	0.0318863049997388	0.0277476533962638	0	0.0787066667598183	0.0614232737590961	0.0186600651731654	0.194032988192609	0.0606187069135635	0.156789292361785	0.0241211060234717	0.0542726096580785	0.0543921162528112	0.0386835111307774	0	0	0	0.551640447066325	0.837139932489475	2.30417466863265
25b9e5c8-514c-48d9-be40-a5644b7b99f9	0.0994606267172239	0	0.0142325867750942	0.0967188119866526	0	0.279234873922941	0.0406557473411798	0.0426047020795948	0.0252847903635538	0	0.0416663507894401	0	0.00659449728818593	0.379148836574575	0.110234161074892	0.328932800226812	0.00906596780900286	0	0.042318192652074	0.0648109103741765	0.0250774241300279	0.0583085201725201	0	0.580817747185838	0.827207084777989	1.66434980027795
1b42179f-9465-49b6-910d-24801896e9a3	0.174455560203877	0	0	0.256061229110999	0	0.375318415534869	0.121892359295185	0.151070806810248	0.0898859503374698	0	0.00896101643562767	0	0	0.44964707477424	0.174645398944382	0.171440532384781	0.00378410611165641	0.0047065889614749	0	0.192760013880937	0	0	0	0.562348834459072	0.834442570489084	2.17462905278575
ee631538-5004-4d37-b089-61458c3d638e	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34df9d7b-935c-4298-bee1-cd2d03cd7950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c3cd3c74-f88a-4394-9240-d4b5b754c070	0.0678364999376099	0.0317606474937684	0.168770693156094	0.386135169895081	0	0.57259818061303	0.509890939967323	0.0133963219973197	0.0976677055917693	0	0.173527532571935	0	0.00448641171909033	0.461150416030187	0.13562226837852	0.249211262872135	0.00114584855291371	0.0498633140386057	0.0822295129692891	0.0327162565400494	0	0.0239819281707202	0.001	0.449847596742613	0.893128601368983	3.06199091049544
d9ecc507-020c-4ae6-866e-b392b908d028	0.224701611039845	0	0.00134564333323233	0.355559952853625	0	0.601299670129046	0.207995309067064	0.275633350323288	0.0890019521026955	0	0.0618059632840469	0.0435882974397042	0	0.737662598999604	0.328822800350542	0.652190370123994	0.0817385441719195	0	0.145942342852742	0	0.197449458007535	0.317331714561591	0.352	0.0533454824295911	1.05997246669549	4.32206957864048
fed30722-ba86-409a-9728-43ab77ebffa7	0.107240930715315	0	0.0458548080962084	0.116250871866368	0	0.522484880731772	0.10083370977907	0.0735744386808607	0.0234588222021888	0	0.0360561505165276	0.0124271090521894	0	0.720378148514194	0.199256871052182	0.225557466599255	0.0163547394508131	0.0583824285909413	0	0.120163926687286	0	0	0.001	0.44309241555436	0.895936413348597	2.37827530253517
fde66458-b58b-40e6-89cc-97970b566b85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1bedf783-74c2-40f6-9ea4-7911899fcb9e	0.544096103447513	0	0.00454784425556499	0.11508971266614	0	0.192666394612392	0.04873423311677	0.0917399805215608	0.0612148056444646	0	0	0.0188857048354487	0	1.23448250747634	0.148774341184987	0.292155239957375	0	0	0	0.106189135847857	0.00319799902331274	0.0187899564810107	0	0.816184018752695	0.64966905245714	2.88056395907074
0e4db20e-e3d3-4570-bfe4-d4b0a153e231	0.121327858852079	0.131099011057372	0.0213297688755364	0.181520771405974	0	0.354081551472058	0	0.154919639956462	0.0540762368261273	0.0351812276595272	0.152785320208263	0.00969777409978472	0	0.760221967659383	0.183054363061178	0.503949599104002	0.0426175426271145	0.035855270564833	0.346801865268153	0.0384040327522982	0	0.0220724195929088	0.433	0.0411390472763194	1.0664583296289	3.14899622104305
319b7911-ee78-4f54-acc4-ff2dcc1b7c5c	0.247280379490924	0	0.0251919206513207	0.196975512550388	0	0.508360613800155	0.360330640200389	0.0962985227094824	0.0527012270471397	0	0.0466904099497172	0.0269594996194502	0.0314724396975433	0.359248071317896	0.215216428436664	0.308454464866779	0.030915718424847	0	0.147247565354153	0	0	0	0	0.55941514361734	0.84347163871108	2.65334341411685
889a7a6a-94c9-4841-9729-5776305164aa	0.188175878151707	0	0	0.519332364158844	0	0.740711459480736	0.223469391423745	0.116946820546461	0.183755697510797	0	0	0.0838618791594902	0.0181286101573445	1.75806676263412	0.44477377998122	0.646131219572896	0.136064457918031	0	0	0.189008576850943	0.0731773741144601	0.0311065258305034	0	0.785310796070498	0.693226652409897	5.3527107974913
950770cf-887a-48d3-836a-93aa74fda7db	0.068304652402326	0.0303702813781064	0.0458862112699917	0.14942264759491	0	0.463177065965352	0.118102573332094	0.0586965964253141	0.00181342003912309	0	0.0398756378766453	0.018918470728519	0.0168825663947826	0.258153232434975	0.0839397017879047	0.188341456643785	0.0462659684344788	0	0.0479155691840724	0	0.0272300899202082	0.00525104162075729	0.002	0.415401774898509	0.909045984544879	1.66854718343335
b7c4c2a7-78f9-40e5-817d-33ebee30bb72	0.128046682996076	0	0.00548368545234596	0.492681394409099	0	0.742437654343307	0.361237083782822	0.183449292270141	0	0	0.095714378771041	0	0	0.468874999881916	0.244993191592267	0.601180216551082	0.0693236150127723	0.0727081312655573	0	0.37420183499997	0.0250665640557586	0.119070518717605	0	0.570224548823535	0.834522336870811	3.98446924410176
f1b27b36-e2c0-42da-beb1-2bc2bc61abb9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2ab84a5c-4c77-479c-8a3a-15f292e7f85b	0.0844858467761524	0.0545970225596274	0	0.0719339935761477	0	0.259125115644147	0.0634969609244944	0.0342135660371993	0.0850285430016964	0.0322906063090481	0.0203333212578444	0	0	0.79300572623162	0.101907229611181	0.220159859265822	0.0178349068868906	0	0.0447278464519765	0	0	0	0.001	0.530453416938191	0.84795814564217	1.88314054453385
f5f8e1c4-4ee2-4f72-9265-37c988d3af7d	0.040081860928146	0.0238185532994769	0.00245101624412757	0.0997725380406417	0	0.119912908257065	0.156227913996957	0.0515862585611781	0.0595764123291619	0	0.0107550786859347	0	0	0.6082215034364	0.0763118231552804	0.141601133997042	0	0	0.0438581040896079	0	0	0	0	0.757405341907771	0.70415080599903	1.43417510502102
d305150e-11e9-4ec7-9fe4-c1ab01c4fdde	0.259386090111172	0	0	0.0729710941275066	0	0.195092612097833	0.143723135205855	0	0.0574716688931625	0	0.0436977261615428	0	0	1.45189332229225	0.169313270748913	0.27130762589752	0	0	0.0645997690864928	0	0	0	0	0.847130071566835	0.601451616534127	2.72945631462225
32306d12-f10b-4558-9c7f-043c3ae1e3aa	0.0853197164295103	0	0.00214193193264668	0.859656973637097	0	0.0544115281294094	0.220140645574095	0.148718446667497	0.102104607037528	0	0	0.132315310725226	0.018052394646596	0.122513985470624	0.105180009418894	0.108225108419694	0.0872911965072603	0	0	0.0720944891337383	0.000289009096891962	0.00736056166196874	0	0.602472414799299	0.801541727851885	2.12581591448868
aa7b9bae-b793-4302-8a32-c23b9b5e01e7	0.0814969839004025	0	0.0528865126848515	0.232804844435034	0	0.363684371481115	0.0877431601040969	0.0482005977868862	0.163097268468269	0	0.0630144733483739	0.0127296361630894	0	0.733513405134871	0.255629820266362	0.365506720899738	0.0104810192848034	0	0.0870849210772514	0.090753100335121	0.00575279791813855	0.00839077564077782	0	0.773417066005297	0.711564628343412	2.66277040892918
040e1058-9e1d-4b27-a481-4db1a75e0266	0.0677076382397316	0	0.0064287412078803	0.911013076821439	0	0	0.403328599540286	0.166588502418628	0.0336977585577214	0	0.267562231343266	0	0	0.249315895613574	0.128002569901151	0.148555901581585	0.0285150910058416	0	0	0.0776755684475659	0.004890544459446	0.00860978976322992	0	0.671062699658777	0.759271596790461	2.50189190890135
