file_id	file_name	submitter_id	case_id	case_barcode	sample_id	sample_barcode	portion_id	portion_barcode	analyte_id	analyte_barcode	aliquot_id	aliquot_barcode	fastq_name1	fastq_name2
a198a3ba-d600-472e-aae0-67860b3b6935	741fbacf-3694-46ef-b16f-66bac6ee0452_gdc_realn_rehead.bam	f01c0c7d-2164-4e5a-9433-c898bbbb2a61	ea645243-df49-4466-a255-9f3d4321e357	TCGA-LL-A73Y	4d088b92-ccb7-44fe-a582-f1d9034cd643	TCGA-LL-A73Y-01A	13b033f1-52ff-4ce1-90f9-57d4fb9446b9	TCGA-LL-A73Y-01A-11	02524009-1415-46de-8c35-5ee513e174e1	TCGA-LL-A73Y-01A-11R	535ab8cf-47a9-4541-b3ef-223bba76a13e	TCGA-LL-A73Y-01A-11R-A33J-07	131217_unc14-sn744_0384_bc32ydacxx_tagctt_l005_2.fastq	131217_unc14-sn744_0384_bc32ydacxx_tagctt_l005_1.fastq
f2f7c7c0-43e8-45fb-8ea8-bdb5e6ac7da7	deb1c4dd-d307-49fb-98c4-34497dbc9e97_gdc_realn_rehead.bam	e65e0b1a-a48b-42b5-a7c3-176b58774afc	001cef41-ff86-4d3f-a140-a647ac4b10a1	TCGA-E2-A1IU	92058c44-a484-4e08-b1fe-dfe2f03a0aa1	TCGA-E2-A1IU-01A	6fca18b6-bb62-4617-9d4c-43deb596ce77	TCGA-E2-A1IU-01A-11	fabbaa0c-e741-4f04-b971-062a1f8dfe70	TCGA-E2-A1IU-01A-11R	53c8bbbd-16cd-4790-a99b-f45b0f958157	TCGA-E2-A1IU-01A-11R-A14D-07	110809_unc9-sn296_0227_ac0437abxx.3_2.fastq	110809_unc9-sn296_0227_ac0437abxx.3_1.fastq
d90c9eef-4660-4312-96d0-0f8321b678a7	086b8249-f7e3-4348-a0e5-0eb87cbb50a6_gdc_realn_rehead.bam	be84d772-dc9c-45e9-8b62-9c3a75096abf	aba5f46a-e67a-4cd2-9c52-c0686968ff04	TCGA-EW-A6SA	5a1bb598-9a38-452a-9599-365501038a88	TCGA-EW-A6SA-01A	698931c9-5719-4269-b4c2-f1378df2f7fe	TCGA-EW-A6SA-01A-21	f6e410e9-26a3-44fa-b6ba-ca8711dd73eb	TCGA-EW-A6SA-01A-21R	2aac1ce6-fc3e-474c-9e0e-5a6d05ff9168	TCGA-EW-A6SA-01A-21R-A32P-07	131015_unc11-sn627_0327_ac2nd3acxx_cagatc_l003_2.fastq	131015_unc11-sn627_0327_ac2nd3acxx_cagatc_l003_1.fastq
5d5528ff-32ac-40d8-8640-15ff04feb41a	a20d08b4-e1c6-4a82-8ebf-56be0ffc9f6b_gdc_realn_rehead.bam	e5a41102-6ff7-48b8-9fa0-5ff7845b5f25	0685edd2-ce1c-4e0e-8dda-393139af4223	TCGA-AO-A03U	dfb7fb86-5f46-4666-a008-395aa0881267	TCGA-AO-A03U-01B	a9ee0006-647e-41ed-815b-fc24837be3e3	TCGA-AO-A03U-01B-21	08079287-c489-4655-8e08-2fb8c4d332d0	TCGA-AO-A03U-01B-21R	bbca4523-28a7-416c-98a8-02c3350705fc	TCGA-AO-A03U-01B-21R-A10J-07	110511_unc11-sn627_0084_ac02m9abxx.4_1.fastq	110511_unc11-sn627_0084_ac02m9abxx.4_2.fastq
2102e6ec-dc7e-4933-9fa5-d5ea00a1a790	977fe270-dca6-4109-a7b7-6fc17e8ea1ec_gdc_realn_rehead.bam	bb28aff4-b5f1-4dc4-8654-1af8f84570de	b2aac45b-2073-4c7a-adb9-769a4fdcc111	TCGA-E9-A1NH	fb0b2d84-d982-4d3a-9803-36420f2e7e46	TCGA-E9-A1NH-01A	d3808fda-fd37-4cce-afbe-6191b41bc0c0	TCGA-E9-A1NH-01A-11	40853e8b-fbaf-44d0-82c3-717775069d33	TCGA-E9-A1NH-01A-11R	0eb9c5a5-1e4e-4808-882e-858b4d0ed396	TCGA-E9-A1NH-01A-11R-A14D-07	110909_unc9-sn296_0239_ad0dfdabxx.5_1.fastq	110909_unc9-sn296_0239_ad0dfdabxx.5_2.fastq
a3b3cf77-5f44-4612-b6a4-43a95c49055f	3ea7a215-73c4-4e11-94f3-2aa03325349e_gdc_realn_rehead.bam	fb039a17-3665-4e2d-aa96-fbe183e53a42	0741b5db-4405-42ba-b63a-c6ee4f341480	TCGA-BH-A1EY	14193a12-5601-4f0c-90aa-ecd24d6ac41b	TCGA-BH-A1EY-01A	48ab3b4c-9f0d-48db-a1b4-1484b785b1f2	TCGA-BH-A1EY-01A-11	bf77fdeb-43b7-4477-8470-3ad11615fd60	TCGA-BH-A1EY-01A-11R	4a6f7935-86f8-4c08-9d0e-9fe77878f2ce	TCGA-BH-A1EY-01A-11R-A13Q-07	110824_unc11-sn627_0145_ad0dl7abxx.2_2.fastq	110824_unc11-sn627_0145_ad0dl7abxx.2_1.fastq
03bd0630-d0a3-4f6f-b7b7-a4068f6073f7	aa6a5132-b44f-4ddf-ac60-ef63787e518c_gdc_realn_rehead.bam	e5261e15-8814-4892-82a7-5372a14a31ca	bb8d42d3-ad65-4d88-ae1d-f9aadfc7962d	TCGA-AO-A1KS	76f4bdbc-58c8-4424-865b-c6531d908dc3	TCGA-AO-A1KS-01A	a486163f-9770-4759-8ae0-e473dfa4a621	TCGA-AO-A1KS-01A-11	cc6a083b-1cbc-4992-ae93-88fe4d1a7bae	TCGA-AO-A1KS-01A-11R	9eab0553-20cc-41bb-bcdb-9ade0578da82	TCGA-AO-A1KS-01A-11R-A13Q-07	110901_unc12-sn629_0126_ad0dg0abxx.4_1.fastq	110901_unc12-sn629_0126_ad0dg0abxx.4_2.fastq
a2f35df5-5ee6-4c8e-ba61-d187651ae9df	3af3b909-5dec-450d-a229-a970ace09f2a_gdc_realn_rehead.bam	78eead32-d510-46cb-8326-d969c766ad4e	045c13ef-3db7-4adf-b0a3-23338f0479f3	TCGA-B6-A0I6	14423610-4958-43f4-9a75-1a61c1293024	TCGA-B6-A0I6-01A	efa0170a-291d-4609-980a-faaec2dc6ec2	TCGA-B6-A0I6-01A-11	f66f260f-3958-42f0-ae3a-97f000f98a4a	TCGA-B6-A0I6-01A-11R	09c248f8-cdd7-4c13-9085-26c56544bcf7	TCGA-B6-A0I6-01A-11R-A034-07	110412_unc13-sn749_0051_ab0168abxx.3_2.fastq	110412_unc13-sn749_0051_ab0168abxx.3_1.fastq
c261b894-7237-4d89-b361-b75087f8cc99	c89b1802-f617-46a0-8e28-af4e42e060f9_gdc_realn_rehead.bam	74b303ff-2b6d-421a-949f-ec967d523655	cea9d8f9-e18c-4947-a461-5f712e3c1e6d	TCGA-E9-A229	c3927b5c-d641-45e5-87ea-9cc18c7ec85e	TCGA-E9-A229-01A	7bfe2994-7a08-4172-aa94-9a0f7091b3bd	TCGA-E9-A229-01A-31	e0ad3794-5560-4c68-9d0b-a35fd0d9702d	TCGA-E9-A229-01A-31R	b956a823-b7d5-4a9e-a9d1-c66f0faf544a	TCGA-E9-A229-01A-31R-A157-07	110912_unc15-sn850_0122_bc004vabxx.7_1.fastq	110912_unc15-sn850_0122_bc004vabxx.7_2.fastq
5f03d92d-a7ca-40b5-882c-3a076de59eaf	621080db-23c4-4f16-83aa-44ebc0a147b1_gdc_realn_rehead.bam	19d4ce97-529c-4661-a832-e7b82ea3596d	0dca98b0-f43e-45b6-9a02-00092c78678c	TCGA-D8-A27H	b7542984-1410-45e6-b936-8333ff902eb4	TCGA-D8-A27H-01A	1dcaa434-e479-432b-89f4-167d754c83ae	TCGA-D8-A27H-01A-11	3a76730b-66cf-4d84-944e-a634e0681ef8	TCGA-D8-A27H-01A-11R	123725b8-4f66-4b97-9726-e0c70300d38e	TCGA-D8-A27H-01A-11R-A16F-07	111005_unc12-sn629_0147_ab01mfabxx.2_2.fastq	111005_unc12-sn629_0147_ab01mfabxx.2_1.fastq
