file_id	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_Tregs	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils	P_value	Correlation	RMSE
f9f9fdf1-7087-475d-a00e-2fbc521bc78f	0.0791759052619881	0	0.0265000150173893	0.05830562482269	0	0.226007918084479	0.0109579196766966	0.0367574558361788	0.0228390997928411	0	0.00586027895676166	0.0038274191714954	0.0210847179922132	0.0730304943847445	0.0583443271614798	0.17171672509233	0.0135037018446787	0.0134412267213354	0.169625833403841	0	0	0.00902133677885756	0	0.371880425980378	0.92779875198062
abacb5d7-54be-4304-9636-beb0faef6bae	0.135090353434994	0	0.0168387429497477	0.0766381866123288	0	0.159045512126778	0.0350364352921777	0.0641720623836088	0.0338585717218136	0.0164784071575103	0	0.0174653361243661	0.0100757355788143	0.0682161293419047	0.119383208569254	0.156906751172966	0.0492148511667936	0.00885592426219756	0.0287933794720992	0	0	0.00393041263264587	0	0.71642733014021	0.758135701415167
3ddefc0d-9414-41b4-9505-fc064b93746a	0.0439645155659994	0	0.0206085326932095	0.0770524772719001	0	0.112291976820165	0.0306820050355865	0.0585707212097068	0.0370866272270279	0.0107019713921798	0.0344008930577793	0	0	0.239499096332721	0.0785845426152144	0.160966922639874	0	0.0110848632403407	0.0734184045266017	0	0	0.011086450371694	0	0.784253925778758	0.718483553367903
5872621a-c277-438e-a8dc-d96f0abf7fa6	0.0221247695938309	0.092324520702638	0.0120481884773034	0.0561614670376464	0	0.0592849399592521	0	0.0814691100583335	0.0540355103072026	0	0	0.0316757049622115	0.0281935152500677	0.194633954828346	0.0523159246821486	0.182291661715077	0.017608881564752	0	0.113284657799418	0	0	0.00254719306177308	0	0.483660301280164	0.878820049994802
4828a13d-dc60-4a52-a3d2-0f935ab9f5fd	0	0.0432406816170922	0.0535017395253342	0.264524235536422	0	0.00759166553529417	0.0452443893091823	0.0907665651255763	0.0438722954529045	0.0187755275104072	0	0.0294793258248027	0	0.111137762172517	0.0659766620339668	0.127889834420527	0.0156502722047548	0	0.0730979140951342	0	0	0.00925112963608501	0.00700000000000001	0.256052632948995	0.97993882620347
511ad979-cef7-4d78-be31-7ad44841bf19	0.134739685890884	0	0.0126358511624606	0.0468159042641252	0	0.121876992899027	0.0126876904349398	0.0463293352546941	0.0450815214350335	0	0.0306443859592495	0	0.0142903071159369	0.267674104941223	0.0553294819985754	0.0920691819664058	0	0.0469638436236215	0	0.071432181222218	0	0.00142953183160528	0	0.451796612770432	0.891474774146142
c4d594a6-cb55-4428-b7d9-3f0148522876	0.0423979702199401	0.0225256576607769	0.124715985338691	0.260097826640748	0	0.0126028213845907	0.0459937994937985	0.0421243386309047	0.0515604471195147	0.046541974720898	0	0	0	0.126153436225051	0.0654199641318833	0.121195990763088	0.00428069848685398	0.00114687744703144	0.0332422117362293	0	0	0	0	0.539936555976948	0.846372926027581
2cb50d4a-d6df-4b64-acfb-7a7db5ddd1de	0.0746270722172681	0	0.0221254885906343	0.102971937055169	0	0.0993550120359431	0	0.0741274478446107	0.0366475029797515	0	0.0176044865271961	0.016249337676906	0.0559993103361415	0.0544328795693121	0.0162069846359411	0.262156465892637	0.00259338960857111	0.0305066765960103	0.100153718476286	0.0328644459936414	0	0.00137784396398116	0	0.507145134762113	0.869665712140717
881a0585-6676-423e-917b-48f30c703b83	0.103407883934954	0	0.069716656018243	0.117801126647748	0	0.107051369920837	0.00901553250545751	0.111260851041726	0.0437353529882476	0.0155044471103517	0	0.0302589893612269	0.00514038633803935	0.168946007996544	0.111242685762348	0.0831981736288616	0.0104262168359384	0.000554496450654284	0.0127398234588232	0	0	0	0	0.5339207450715	0.849320946927068
dbef9056-dac0-4934-86f0-6563522bb7e6	0.0164834522483573	0.0155427969637494	0	0.0546167895100954	0	0.164247481028286	0	0.0312660106842653	0.0440793655255463	0	0.0125178168862069	0.00852392016208807	0	0.29081738277618	0.0687801700330258	0.200088027841981	0.0254121931372857	0.0102959665822568	0.0525169967139097	0	0	0.0048116299067667	0	0.741296867342138	0.72821791948927
3e160065-8a2e-4c60-acd7-ab5420df1a97	0.0540895618909471	0.0175042246511324	0.0290097185450416	0.0957491685065517	0	0.118953866474388	0.0126888070352499	0.0731906076223225	0.0569437742415121	0.0020959978847503	0	0.0127455523853567	0.011990952862123	0.118238797680279	0.0646169812094134	0.235829986381178	0.0116122414559975	0.0156823378401008	0.0675161562013735	0	0.00154126713228193	0	0.005	0.269354228907141	0.971088379247605
48365fce-2eff-4e55-abf8-4d61fc6596f4	0.0290950975236816	0	0.00225043979811841	0.0571944049149208	0	0.2047533232647	0.0471363892710355	0.00370446544446194	0	0.0106116277835193	0.0519024189046265	0	0.0257327113691368	0.253357900901741	0.0912562300669761	0.175546006607372	0.0290517942124548	0.00775881993944949	0.0101085608395916	0.000539809158214796	0	0	0	0.775185599052002	0.711151252575051
73442f2d-3453-42ee-b57a-86871e2e2fd9	0.109267065508598	0	0.0342383302883087	0.112631619509101	0	0.172503046705886	0.00122433569303441	0.0267543626734105	0.0231680812891248	0	0	0.00387384007583739	0	0.193063397743996	0.0625868136826108	0.143503331706547	0.0128025812923942	0	0.104383193831152	0	0	0	0	0.672031226579413	0.784328915402716
2ced85bc-852a-4056-ad11-2e88ec6d2d82	0.146155895368908	0	0.0291806732159453	0.105186180482902	0	0.222217976616273	0.00822240988750287	0.0322425508208017	0.0256809511739701	0	0.0215396056338806	0	0.0127148008913862	0.054355503975882	0.0177467959682041	0.19786704734977	0.0233885334675334	0.00959382977366006	0.0632620416895315	0.0306452036838489	0	0	0	0.463434396491335	0.887077809065602
ec93151d-47df-4932-b38a-bc0bd3c74fa9	0.147741416047953	0	0.0218261138701483	0.104284064087547	0	0.203166698790369	0.0477433225586162	0.0268804761502755	0.0201393399724572	0.0453077070381451	0	0	0.00629940382707792	0.0546655917120384	0.103348191002948	0.0695713679268544	0.031171967563826	0.0212941720749052	0.0965601673768373	0	0	0	0	0.730673651243282	0.74868206356657
